iata_code,name,city_name,country_code
CYI,Chiayi Airport,Shuishang,TW
CYL,Coyoles Airport,Coyoles,HN
CYM,Chatham Seaplane Base,Chatham,US
CYO,Vilo Acuña International Airport,Cayo Largo del Sur,CU
CYP,Calbayog Airport,Calbayog City,PH
CYR,Colonia Laguna de Los Patos International Airport,Colonia del Sacramento,UY
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,US
CYT,Yakataga Airport,Yakataga,US
CYU,Cuyo Airport,Cuyo,PH
CYW,Captain Rogelio Castillo National Airport,Celaya,MX
CYX,Cherskiy Airport,Cherskiy,RU
CYZ,Cauayan Airport,Cauayan City,PH
CZA,Chichén Itzá International Airport,Tinúm,MX
CZB,Carlos Ruhl Airport,Cruz Alta,BR
CZC,Copper Center 2 Airport,Copper Center,US
CZE,José Leonardo Chirinos Airport,Coro,VE
CZF,Cape Romanzof LRRS Airport,Cape Romanzof,US
CZH,Corozal Airport,Corozal,BZ
CZJ,Corazón de Jesús Airport,Tupile,PA
CZK,Cascade Locks State Airport,Cascade Locks,US
CZL,Mohamed Boudiaf International Airport,Constantine,DZ
CZM,Cozumel International Airport,Cozumel,MX
CZN,Chisana Airport,Chisana,US
CZO,Chistochina Airport,Chistochina,US
CZP,Cape Pole Seaplane Base,Cape Pole,US
CZR,Chara Airport,Chara,RU
CZS,Cruzeiro do Sul Airport,Cruzeiro do Sul,BR
CZT,Dimmit County Airport,Carrizo Springs,US
CZU,Las Brujas Airport,Corozal,CO
CZX,Changzhou Benniu International Airport,Changzhou,CN
DAA,Davison Army Air Field,Fort Belvoir,US
DAB,Daytona Beach International Airport,Daytona Beach,US
DAC,Hazrat Shahjalal International Airport,Dhaka,BD
DAD,Da Nang International Airport,Da Nang,VN
DAG,Barstow Daggett Airport,Daggett,US
DAH,Dathina Airport,Dathina,YE
DAK,Ad Dakhla Airport,Dakhla Oases,EG
DAL,Dallas Love Field,Dallas,US
DAM,Damascus International Airport,Damascus,SY
DAN,Danville Regional Airport,Danville,US
DAP,Darchula Airport,Darchula,NP
DAR,Julius Nyerere International Airport,Dar es Salaam,TZ
DAS,Great Bear Lake Airport,Great Bear Lake,CA
DAT,Datong Yungang International Airport,Datong,CN
DAU,Daru Airport,Daru,PG
DAV,Enrique Malek International Airport,David,PA
DAX,Dachuan Airport,Dazhou (Daxian),CN
DAY,James M. Cox Dayton International Airport,Dayton,US
DAZ,Darwaz Airport,Darwaz,AF
DBA,Dalbandin Airport,Dalbandin,PK
DBB,El Alamein International Airport,El Alamein,EG
DBC,Baicheng Chang'an Airport,Baicheng,CN
DBK,Dutch Bay SPB,Kalpitiya Island,LK
DBM,Debre Markos Airport,Debre Markos,ET
DBN,W H 'Bud' Barron Airport,Dublin,US
DBO,Dubbo City Regional Airport,Dubbo,AU
DBP,Debepare Airport,Debepare,PG
DBQ,Dubuque Regional Airport,Dubuque,US
DBR,Darbhanga Airport,Darbhanga,IN
DBS,Dubois Municipal Airport,DuBois,US
DBT,Debre Tabor Airport,Debre Tabor,ET
DBU,Dambulu Oya Tank Seaplane Base,Dambulla,LK
DBV,Dubrovnik Ruđer Bošković Airport,Dubrovnik,HR
DCA,Ronald Reagan Washington National Airport,Washington,US
DCF,Canefield Airport,Canefield,DM
DCI,Decimomannu Air Base,Decimomannu,IT
DCK,Dahl Creek Airport,Dahl Creek,US
DCM,Castres Mazamet Airport,Castres,FR
DCN,RAAF Base Curtin,Derby,AU
DCT,Duncan Town Airport,Duncan Town,BS
DCU,Pryor Field Regional Airport,Decatur,US
DCY,Daocheng Yading Airport,Garzê (Daocheng),CN
DDC,Dodge City Regional Airport,Dodge City,US
DDD,Dhaalu Atoll Airport,Kudahuvadhoo,MV
DDG,Dandong Langtou International Airport,Dandong (Zhenxing),CN
DDI,Daydream Island Helipad,Whitsundays,AU
DDR,Rikaze Dingri Airport,Xigazê (Dingri),CN
DDU,Dadu West Airport,Dadu,PK
DEA,Dera Ghazi Khan Airport,Dera Ghazi Khan,PK
DEB,Debrecen International Airport,Debrecen,HU
DEC,Decatur Airport,Decatur,US
DED,Dehradun Jolly Grant Airport,Dehradun (Jauligrant),IN
DEE,Yuzhno-Kurilsk Mendeleyevo Airport,Yuzhno-Kurilsk,RU
DEF,Dezful Airport,Dezful,IR
DEH,Decorah Municipal Airport,Decorah,US
DEI,Denis Island Airport,Denis Island,SC
DEJ,Tongren Dejiang Airport (Under Construction),Tongren,CN
DEL,Indira Gandhi International Airport,New Delhi,IN
DEM,Dembidollo Airport,Dembidollo,ET
DEN,Denver International Airport,Denver,US
DEP,Daporijo Airport,Daporijo,IN
DEQ,Deqing Moganshan Airport,Huzhou,CN
DER,Derim Airport,Derim,PG
DES,Desroches Airport,Desroches Island,SC
DET,Coleman A. Young Municipal Airport,Detroit,US
DEX,Nop Goliat Dekai Airport,Dekai,ID
DEZ,Deir ez-Zor Airport,Deir ez-Zor,SY
DFA,Shangluo Airport,Shangluo (Danfeng),CN
DFI,Defiance Memorial Airport,Defiance,US
DFP,Drumduff Airport,Palmer,AU
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US
DGA,Dangriga Airport,Dangriga,BZ
DGE,Mudgee Airport,Mudgee,AU
DGF,Douglas Lake Airport,Douglas Lake,CA
DGH,Deoghar Airport,Deoghar,IN
DGL,Douglas Municipal Airport,Douglas,US
DGM,Dandugama Seaplane Base,Colombo,LK
DGN,Dahlgren Naval Surface Warfare Center Airport,Dahlgren,US
DGO,General Guadalupe Victoria International Airport,Durango,MX
DGP,Daugavpils International Airport,Daugavpils,LV
DGR,Dargaville Aerodrome,Dargaville,NZ
DGT,Sibulan Airport,Dumaguete City,PH
DGU,Dedougou Airport,Dedougou,BF
DGW,Converse County Airport,Douglas,US
DHA,King Abdulaziz Air Base,Dhahran,SA
DHB,Deer Harbor SPB,Deer Harbor,US
DHG,Dalnegorsk Airport,Dalnegorsk,RU
DHI,Dhangarhi Airport,Dhangarhi,NP
DHL,Ad-Dali Airport,Ad-Dali,YE
DHM,Kangra Airport,Kangra,IN
DHN,Dothan Regional Airport,Dothan,US
DHR,De Kooy Airfield / Den Helder Naval Air Station,Den Helder,NL
DHT,Dalhart Municipal Airport,Dalhart,US
DHX,Dhoho International Airport,Kediri,ID
DIA,Doha International Airport,Doha,QA
DIB,Dibrugarh Airport,Dibrugarh,IN
DIE,Arrachart Airport,Antisiranana,MG
DIG,Diqing Shangri-La Airport,Diqing (Shangri-La),CN
DIJ,Dijon Longvic airport,Dijon,FR
